Geography,fips_code,tract,TotalPop,Drove,Percent_Drove,Transit,Percent_Transit,Bike,Percent_Bike,Walk,Percent_Walk,WFH,Percent_WFH
"Census Tract 1236.02, Los Angeles County, California",6037123602,123602,1678,1313,78.25,99.00,5.90,6.00,0.36,26.00,1.55,221.00,13.17
"Census Tract 1237, Los Angeles County, California",6037123700,123700,1725,1428,82.78,63.00,3.65,13.00,0.75,0.00,0.00,190.00,11.01
"Census Tract 1238, Los Angeles County, California",6037123800,123800,2715,2222,81.84,248.00,9.13,22.00,0.81,12.00,0.44,211.00,7.77
"Census Tract 1239.01, Los Angeles County, California",6037123901,123901,2180,1652,75.78,279.00,12.80,0.00,0.00,48.00,2.20,176.00,8.07
"Census Tract 1239.02, Los Angeles County, California",6037123902,123902,1550,1389,89.61,106.00,6.84,23.00,1.48,7.00,0.45,25.00,1.61
"Census Tract 1240, Los Angeles County, California",6037124000,124000,2453,1866,76.07,54.00,2.20,20.00,0.82,17.00,0.69,407.00,16.59
"Census Tract 1241.02, Los Angeles County, California",6037124102,124102,2145,1559,72.68,279.00,13.01,28.00,1.31,45.00,2.10,169.00,7.88
"Census Tract 1241.03, Los Angeles County, California",6037124103,124103,852,720,84.51,40.00,4.69,33.00,3.87,31.00,3.64,3.00,0.35
"Census Tract 1241.04, Los Angeles County, California",6037124104,124104,1305,1004,76.93,182.00,13.95,12.00,0.92,22.00,1.69,51.00,3.91
"Census Tract 1241.05, Los Angeles County, California",6037124105,124105,1203,883,73.40,150.00,12.47,10.00,0.83,26.00,2.16,27.00,2.24
"Census Tract 1242.01, Los Angeles County, California",6037124201,124201,1515,1371,90.50,39.00,2.57,17.00,1.12,12.00,0.79,76.00,5.02
"Census Tract 1242.03, Los Angeles County, California",6037124203,124203,1484,1139,76.75,186.00,12.53,14.00,0.94,41.00,2.76,71.00,4.78
"Census Tract 1242.04, Los Angeles County, California",6037124204,124204,1443,1086,75.26,169.00,11.71,31.00,2.15,62.00,4.30,36.00,2.49
